UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A8B3V2	GL50803_7990	82.92	Eukaryotic initiation factor 4E	Eukaryotic translation initiation factor 4E type 2	Translation elongation factor	Eukaryotic translation initiation factor 4E class II 2A	eIF-4F 25 kDa subunit	148
A0A644F7F4	GL50803_60903	32.49	Uncharacterized protein	None	None	None	None	0
A0A644F8G9	GL50803_d60225	93.85	Glutathione S-transferase-like protein	Glutathione S-transferase alpha I	Glutathione S-transferase-like protein	Glutathione S-Transferase	Glutathione S-transferase	161
A8B2I2	GL50803_10313	88.9	Kinase	Probable serine/threonine-protein kinase glkA	Protein kinase domain containing protein	Probable serine/threonine-protein kinase glkA	Protein kinase domain-containing protein	447
A0A644F8J4	GL50803_103164	53.54	SHIPPO repeat domain-containing protein	None	None	None	None	0
E2RTX0	GL50803_15127	96.76	deoxyribose-phosphate aldolase	Deoxyribose-phosphate aldolase	Deoxyribose-phosphate aldolase	2-deoxy-D-ribose 5-phosphate aldolase	Deoxyribose-phosphate aldolase	815
A0A644F8J5	GL50803_16463	87.67	18S rRNA aminocarboxypropyltransferase	18S rRNA aminocarboxypropyltransferase	18S rRNA aminocarboxypropyltransferase	18S rRNA aminocarboxypropyltransferase	18S rRNA aminocarboxypropyltransferase	577
A0A644FC41	GL50803_16044	71.54	Ribosomal L22e	60S ribosomal protein L22	LSU ribosomal protein L22E	60S ribosomal protein L22	60S ribosomal protein L22	122
A8B4L4	GL50803_9529	85.07	Palmitoyltransferase	Probable protein S-acyltransferase 16	Palmitoyltransferase	S-acyltransferase	Palmitoyltransferase	994
A8B4U0	GL50803_11956	56.91	Uncharacterized protein	None	None	None	None	0
A0A644F543	GL50803_17584	70.4	RRM domain-containing protein	Peptidyl-prolyl cis-trans isomerase E	Chromosome 1, whole genome shotgun sequence	RRM domain-containing protein	RRM domain-containing protein	400
A8B3G1	GL50803_32235	48.48	Uncharacterized protein	None	MlaD domain-containing protein	Apolipoprotein L domain-containing 1	Apolipoprotein L domain-containing 1	2
E2RU99	GL50803_6184	97.45	Branched-chain amino acid aminotransferase	Branched-chain-amino-acid aminotransferase	Branched-chain amino acid aminotransferase lateral transfer candidate	Branched-chain-amino-acid aminotransferase	Branched-chain-amino-acid aminotransferase	550
A8B2Y8	GL50803_15094	85.69	Cyclin	Cyclin-U4-3	Cyclin N-terminal domain-containing protein	Cyclin	Cyclin N-terminal domain-containing protein	281
A0A644FB79	GL50803_88960	77.04	Uncharacterized protein	Membrane-spanning 4-domains subfamily A member 15	Golgi apparatus membrane TVP15	Casparian strip membrane protein 5	CASP-like protein	24
A0A644F7X0	GL50803_10939	85.52	Kelch motif-containing protein	Acyl-CoA-binding domain-containing protein 5	Galactose oxidase/kelch repeat superfamily protein	Galactose oxidase/kelch repeat superfamily protein	BTB domain-containing protein	139
A0A644FAT9	GL50803_50116	88.29	VSP	Major surface trophozoite antigen 11	VSP	P/Homo B domain-containing protein	Variant-specific surface protein	61
A0A644F6Z7	GL50803_6035	86.13	Ankyrin repeat protein 1	DNA-binding protein RFXANK	Protein 21.1	Ankyrin repeat and SOCS box-containing 7	Ankyrin repeat protein 1	222
A8B211	GL50803_88059	56.85	Myb-like DNA-binding domain-containing protein	None	None	None	None	0
A8B4P6	GL50803_113970	88.56	Alpha/beta hydrolase family protein	Palmitoyl-protein thioesterase ABHD10, mitochondrial	AB hydrolase-1 domain-containing protein	Alpha/beta-Hydrolases superfamily protein	Alpha/beta hydrolase	229
A0A644FAP9	GL50803_92892	79.63	TatD related DNase	D-aminoacyl-tRNA deacylase	TatD related DNase	Hydrolase	TatD family deoxyribonuclease	72
A0A644FDA8	GL50803_60483	28.32	Uncharacterized protein	None	None	None	None	0
A0A644F8Q5	GL50803_13101	73.81	Uncharacterized protein	Basic immunoglobulin-like variable motif-containing protein	Basic immunoglobulin-like variable motif-containing protein	Basic immunoglobulin-like variable motif-containing protein	Basic immunoglobulin-like variable motif-containing protein	96
A0A644F7Q0	GL50803_60085	36.92	Uncharacterized protein	None	None	None	None	0
A8B2G3	GL50803_10329	83.89	Ferredoxin Fd3	Choline trimethylamine-lyase activating enzyme	Ferredoxin Fd3	L-aspartate semialdehyde sulfurtransferase iron-sulfur subunit	NAD(P)H-quinone oxidoreductase subunit I, chloroplastic	199
E2RU75	GL50803_17090	69.66	Giardia trophozoite antigen GTA-1	Diacylglycerol kinase eta	Trophozoite antigen GTA-1	Diacylglycerol kinase	SAM domain-containing protein	315
A0A644F5T2	GL50803_5873	34.76	Uncharacterized protein	None	None	None	None	0
A8B3G8	GL50803_14589	67.42	EF-hand domain-containing protein	Probable calcium-binding protein CML21	EF-hand domain-containing protein	AT10229p	Calmodulin	185
A0A644FAN7	GL50803_11196	37.9	Uncharacterized protein	None	None	None	None	0
A0A644F899	GL50803_60184	32.62	Uncharacterized protein	None	None	None	None	0
A0A644F416	GL50803_16823	65.22	Non ATPase subunit MPR1 of 26S proteasome	26S proteasome regulatory subunit RPN11	Non ATPase subunit MPR1 of 26S proteasome	26S proteasome regulatory subunit RPN11	26S proteasome regulatory subunit RPN11	291
A8B2H2	GL50803_103785	48.24	Transmembrane domain-containing protein	Huntingtin-interacting protein 1-related protein	Inorganic diphosphatase	Huntingtin-interacting protein 1-related protein	Huntingtin-interacting protein 1-related protein	4
A8B4D5	GL50803_24512	74.86	Neurogenic locus notch-like protein	Proheparin-binding EGF-like growth factor	Neurogenic locus notch-like protein	EGF-like domain-containing protein	EGF-like domain-containing protein	148
A8BTV9	GL50803_12807	90.09	ATP binding protein associated with cell differentiation, putative	Thioredoxin domain-containing protein PLP3A	Thioredoxin domain-containing protein PLP3B-like	Thioredoxin domain-containing protein	Thioredoxin	407
E2RU21	GL50803_8497	82.42	Rab28/RabF	Ras-related protein Rab-28	Ras-related protein YPTC6	Ras-related protein Rab-28	GTPase Era	87
A0A644F7L5	GL50803_16297	81.99	Uncharacterized protein	B-cell receptor-associated protein 29	Zinc ribbon domain-containing protein	B-cell receptor-associated protein	Phage tail tape measure protein	5
A0A644F664	GL50803_6408	65.44	SnRNP Sm-like protein	Probable U6 snRNA-associated Sm-like protein LSm4	CSON000563 protein	U6 snRNA-associated Sm-like protein LSm4	Small nuclear ribonucleoprotein Sm D3	182
E2RU02	GL50803_27266	81.22	[2Fe-2S] ferredoxin	2Fe-2S ferredoxin	Ferredoxin	2Fe-2S ferredoxin-type domain-containing protein	2Fe-2S ferredoxin-type domain-containing protein	266
E2RU06	GL50803_10038	96.22	Alpha-18 giardin	Giardin subunit alpha-9	Alpha-18 giardin	Annexin	Annexin	573
A8B513	GL50803_9359	78.21	Uncharacterized protein	Zinc finger MYND domain-containing protein 10	DUF218 domain-containing protein	Zinc finger MYND domain-containing protein 10	Non-specific serine/threonine protein kinase	39
A8B460	GL50803_6448	60.73	Uncharacterized protein	Calcipressin-like protein	Methyltransferase domain-containing protein	Os10g0207700 protein	Elongation factor G	15
A8B2P8	GL50803_11896	62.85	Uncharacterized protein	None	None	None	None	0
A8B3H0	GL50803_113723	73.45	High cysteine membrane protein	PTTG1IP family member 2	Histidine kinase	Sodium channel subunit beta-3	Histidine kinase	4
A0A644F6C0	GL50803_37421	88.69	EGF-like domain-containing protein	None	EGF-like domain-containing protein	None	High cysteine membrane protein	5
A0A644F7X4	GL50803_d60176	37.42	Uncharacterized protein	None	None	None	None	0
A0A644FB68	GL50803_88945	56.09	GARP-like protein 2	None	Golden 2-like protein 1	HTH myb-type domain-containing protein	HTH myb-type domain-containing protein	5
E2RU71	GL50803_13438	91.18	Ankyrin repeat protein 1	Ankyrin repeat and SOCS box protein 3	Ankyrin repeat protein 1	Ankyrin repeat and SOCS box-containing 2b	Ankyrin repeat protein 1	234
A8B4J5	GL50803_12920	39.27	Uncharacterized protein	None	None	None	None	0
A8B462	GL50803_6447	36.13	Uncharacterized protein	Ribonuclease P protein component 2	DUF4265 domain-containing protein	Lipoprotein	Lipoprotein	42
A8B2P2	GL50803_101451	50.99	Transmembrane domain-containing protein	None	ATP synthase I	None	ATP synthase subunit I	2
A0A644F964	GL50803_60211	76.93	Ribosomal protein S19e	30S ribosomal protein S19e	SSU ribosomal protein S19E	40S ribosomal protein S19	Holliday junction ATP-dependent DNA helicase RuvB	245
A8B252	GL50803_5845	63.87	40S ribosomal protein S8	40S ribosomal protein S8-B	40S ribosomal protein S8	40S ribosomal protein S8-B	40S ribosomal protein S8	476
A0A644F9A2	GL50803_16265	85.36	Small ribosomal subunit protein eS1	40S ribosomal protein S3a	Ribosomal protein S3a	40S ribosomal protein S3a	40S ribosomal protein S3a	306
A0A644F6S9	GL50803_15604	79.32	26S proteasome regulatory subunit Rpn10	26S proteasome non-ATPase regulatory subunit 4	VWFA domain-containing protein	VWFA domain-containing protein	VWFA domain-containing protein	262
A0A644F9E3	GL50803_50057	89.04	High cysteine protein	Major surface trophozoite antigen 11	High cysteine protein	Nesprin-2	Variant-specific surface protein	237
A0A644F4H9	GL50803_14762	40.49	Uncharacterized protein	None	None	None	None	0
A0A644F8Z9	GL50803_8078	48.82	Uncharacterized protein	None	None	None	None	0
E2RU49	GL50803_7875	87.6	E04F6.2 like protein	Parkin coregulated gene protein homolog	E04F6.2 like protein	PARK2 co-regulated	TOG domain-containing protein	36
A0A644FAX4	GL50803_31617	36.54	Uncharacterized protein	None	None	None	None	0
A0A644FA19	GL50803_39483	66.57	Ribosomal protein S29e	40S ribosomal protein S29	Ribosomal protein S29A	40S ribosomal protein S29	30S ribosomal protein S14	465
E2RU95	GL50803_9779	90.16	UPL-1	Purine nucleoside phosphorylase DeoD-type 1	UPL-1	Uridine phosphorylase	PNP_UDP_1 domain-containing protein	281
A0A644F6Q5	GL50803_17366	92.3	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase	382
E2RU85	GL50803_6744	80.63	Centrin	Caltractin	Caltractin	Centrin-2	Calmodulin	287
A8B493	GL50803_5632	89.78	Exosome complex exonuclease	Exosome complex component RRP45	Exosome complex endonuclease 2/ribosomal RNA processing protein	Exosome complex exonuclease RRP45	Polyribonucleotide nucleotidyltransferase	522
A0A644F642	GL50803_15193	67.63	Trichohyalin	None	Uso1_p115_head domain-containing protein	None	Peptidase_M23 domain-containing protein	2
A0A644FB72	GL50803_13897	86.8	MCT-1 protein-like protein	Malignant T-cell-amplified sequence 2	MCT-1 protein-like protein	Os01g0314300 protein	Glutamate 5-kinase	341
A8B1R0	GL50803_11052	66.02	RING-type E3 ubiquitin transferase	E3 ubiquitin-protein ligase MGRN1	Zinc finger domain protein	RING-type domain-containing protein	RING-type domain-containing protein	410
A8B4D7	GL50803_16228	86.22	DDI1-like DNA-damage inducible protein	Protein DDI1 homolog	DNA damage-inducible protein 1	Protein DDI1 homolog	Reverse transcriptase domain-containing protein	176
A8B4F3	GL50803_3570	73.8	Ribosomal protein S28	40S ribosomal protein S28	SSU ribosomal protein S28E	40S ribosomal protein S28	30S ribosomal protein S28e	199
A8B2G0	GL50803_10330	91.35	Tenascin	None	Tenascin family protein	None	Tenascin	2
A8BTY4	GL50803_3581	54.48	Intraflagellar transport complex B, subunit 20	None	GGDEF domain-containing protein	None	GGDEF domain-containing protein	2
A8B3T8	GL50803_16758	58.01	Uncharacterized protein	None	None	None	None	0
A8B2X8	GL50803_15093	68.89	Uncharacterized protein	None	None	None	None	0
A0A644F6J5	GL50803_6084	49.71	Uncharacterized protein	None	None	None	None	0
A8B228	GL50803_8979	41.29	Uncharacterized protein	None	None	None	None	0
A0A644F762	GL50803_8367	78.74	V-type H-transporting ATPase subunit F	V-type proton ATPase subunit F	Vacuolar ATP synthase subunit F	V-type proton ATPase subunit F	Succinate--CoA ligase [ADP-forming] subunit beta	437
A8B4T4	GL50803_15538	86.86	Eukaryotic translation initiation factor 5	Probable eukaryotic translation initiation factor 5	Protein Translation Initiation Factor 5 (IF-5)	Probable eukaryotic translation initiation factor 5	eIF2B_5 domain-containing protein	206
A8B455	GL50803_17129	41.18	Uncharacterized protein	None	None	None	None	0
A0A644F9P4	GL50803_17068	93.4	WD40 repeat protein	DDB1- and CUL4-associated factor 7 homolog	Guanine nucleotide-binding protein subunit beta-like protein	DDB1- and CUL4-associated factor 7 homolog	WD_REPEATS_REGION domain-containing protein	122
A0A644F5W7	GL50803_40007	88.36	RNase PH-like 3'-5' exoribonuclease	Exosome complex exonuclease RRP46 homolog	Polyribonucleotide nucleotidyltransferase	Exosome complex exonuclease RRP46 homolog	Polyribonucleotide nucleotidyltransferase	1275
A0A644F8I9	GL50803_60210	36.13	Uncharacterized protein	None	None	None	None	0
A8B2F3	GL50803_10341	84.45	Ribosomal protein L10e	Ribosomal L1 domain-containing protein 1	Ribosomal protein L10e	Ribosomal protein L1p/L10e family	Ribosomal protein	222
A0A644FA68	GL50803_103094	83.11	Ankyrin repeat protein 1	Protein fem-1 homolog B	Protein 21.1	ANK_REP_REGION domain-containing protein	Ankyrin repeat protein 1	207
A0A644F8Q9	GL50803_13103	69.14	Transcription elongation factor 1 homolog	Transcription elongation factor 1 homolog	Transcription elongation factor 1 homolog	Transcription elongation factor 1 homolog	Transcription elongation factor 1 homolog	463
A0A644F8R6	GL50803_60225	94.98	Glutathione S-transferase-like protein	Glutathione S-transferase P	Glutathione S-transferase-like protein	Glutathione S-Transferase	Glutathione S-transferase	165
E2RU05	GL50803_8245	92.48	Glucosamine-6-phosphate isomerase	Glucosamine-6-phosphate isomerase 1	Glucosamine-6-phosphate deaminase	Glucosamine-6-phosphate isomerase	Glucosamine-6-phosphate deaminase	847
E2RTZ0	GL50803_4629	67.81	BC2-ORF3	None	None	None	None	0
A0A644F462	GL50803_12062	86.33	Proteasome activator pa28 beta subunit	Proteasome activator 28	Proteasome activator pa28 beta subunit	LD45860p	NAB domain-containing protein	14
A0A644FBE1	GL50803_16796	93.73	non-specific serine/threonine protein kinase	EKC/KEOPS complex subunit Tp53rk	Non-specific serine/threonine protein kinase	Non-specific serine/threonine protein kinase	Non-specific serine/threonine protein kinase	596
A8B4W2	GL50803_14568	94.43	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase PP1	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase	1092
A0A644F9C4	GL50803_60288	92.07	BolA-like protein	BolA-like protein 3	rRNA methyltransferase spb1	BolA-like protein 3	Ribosome maturation factor RimP	270
A0A644F6X0	GL50803_17374	75.63	Uncharacterized protein	Transducin-like enhancer protein 6	KAP NTPase domain-containing protein	Transducin-like enhancer protein 6	WD_REPEATS_REGION domain-containing protein	65
E2RU26	GL50803_13437	63.24	Protein 21.1	None	RING-type domain-containing protein	None	RING-type domain-containing protein	1
E2RU97	GL50803_6430	97.72	14-3-3 protein	Protein BMH2	14_3_3 domain-containing protein	Protein BMH2	14_3_3 domain-containing protein	322
E2RU58	GL50803_137609	81.08	RNA polymerase II subunit Rpb5a	DNA-directed RNA polymerases I, II, and III subunit rpabc1	RNA polymerase Rpb5, C-terminal domain	DNA-directed RNA polymerases I, II, and III subunit rpabc1	DNA-directed RNA polymerase subunit H	291
A0A644F7P6	GL50803_15125	64.75	Uncharacterized protein	Protein C4	BnaAnng39930D protein	CS domain-containing protein	SHSP domain-containing protein	7
A0A644FAT6	GL50803_32674	67.78	Deoxynucleoside kinase	Deoxyadenosine/deoxycytidine kinase	dNK domain-containing protein	Deoxyadenosine kinase	Thymidylate kinase	873
A0A644F7L6	GL50803_12853	93.6	Molybdopterin biosynthesis MoeB protein	SAMP-activating enzyme E1	Molybdopterin biosynthesis protein MoeB	Adenylyltransferase and sulfurtransferase MOCS3 homolog	ThiF domain-containing protein	211
A0A644FAS6	GL50803_92651	47.12	Uncharacterized protein	None	Flagellar export chaperone FliS	None	Flagellar export chaperone FliS	1
A8B3N8	GL50803_16414	39.24	Uncharacterized protein	None	Peptidase, M23/M37 family	None	Peptidase, M23/M37 family	1
A8B2F0	GL50803_97017	31.7	Uncharacterized protein	None	None	None	None	0
A8B4N6	GL50803_13890	93.5	Phosphatidyl synthase	Haloacid dehalogenase-like hydrolase domain-containing 5	Phosphatidyl synthase	Aspartate--tRNA ligase	HAD-IIA family hydrolase	185
A8BU95	GL50803_24584	30.02	Uncharacterized protein	None	None	None	None	0
A8BUH6	GL50803_24321	88.75	Kinase, NEK	Serine/threonine-protein kinase Nek6	Other NEK kinase	LD04361p	Protein kinase domain-containing protein	387
A8BUC7	GL50803_12741	66.15	Uncharacterized protein	None	None	None	None	0
A8BUF6	GL50803_8725	30.02	Uncharacterized protein	None	None	None	None	0
A8BU64	GL50803_11237	32.65	Uncharacterized protein	None	None	None	None	0
A8BUE7	GL50803_8731	73.36	RING-type E3 ubiquitin transferase	E3 ubiquitin ligase rnf-5	Zinc finger domain-containing protein	At1g74990	RING-type domain-containing protein	312
A8BUD4	GL50803_8738	64.21	Bardet-Biedl syndrome 1 N-terminal domain-containing protein	Bardet-Biedl syndrome 1 protein homolog	BBS1 domain-containing protein	BBS1 domain-containing protein	AP complex subunit beta	42
A8BUC8	GL50803_1649	92.39	Tubulin-specific chaperone A	Tubulin-specific chaperone A	Tubulin-specific chaperone A	Tubulin-specific chaperone A	Tubulin-specific chaperone A	233
A8BUG1	GL50803_14768	28.53	Uncharacterized protein	None	None	None	None	0
A8BUE0	GL50803_28620	54.28	Uncharacterized protein	None	Fusellovirus, SSV2 ORF126, proviral	None	Fusellovirus, SSV2 ORF126, proviral	1
A8BUC3	GL50803_16794	89.26	NFACT RNA-binding domain-containing protein	Coiled-coil domain-containing protein 25	NFACT-R_1 domain-containing protein	NFACT-R_1 domain-containing protein	NFACT-R_1 domain-containing protein	292
A8BUE4	GL50803_8733	61.23	Putative serine/threonine-protein kinase	Transcription initiation factor TFIID subunit 2	Interferon alpha/beta receptor 1	BTB domain-containing protein	Transcription initiation factor TFIID 150 kDa subunit	40
A8BUB7	GL50803_3705	72.21	Uncharacterized protein	Ras-related protein Ral-B	RAS small monomeric GTPase	Unplaced genomic scaffold supercont1.8, whole genome shotgun sequence	Translation initiation factor IF-2	1017
A8BUG4	GL50803_16791	32.75	Uncharacterized protein	None	None	None	None	0
A8BUB9	GL50803_3706	79.67	DNA polymerase II subunit 2	DNA polymerase epsilon subunit 2	DNA polymerase II subunit 2	Probable DNA polymerase epsilon subunit 2	DNA polymerase II subunit 2	368
A8BU77	GL50803_11248	43.52	Uncharacterized protein	None	None	None	None	0
A8BUD9	GL50803_16792	78.76	Kinase, NEK	Serine/threonine-protein kinase Nek9	Kinase-like protein	Protein kinase domain-containing protein	Protein kinase domain-containing protein	523
A8BU80	GL50803_15383	86.68	Peroxiredoxin 1	Peroxiredoxin-1	Peroxiredoxin 1	Peroxiredoxin-1	Thioredoxin domain-containing protein	215
A8BU75	GL50803_11247	88.74	Ribosomal protein L13a	60S ribosomal protein L13a	Ribosomal protein L13a	60S ribosomal protein L16	50S ribosomal protein L13	335
A8BU84	GL50803_135269	73.2	Uncharacterized protein	None	None	None	None	0
A8BU72	GL50803_11246	80.65	Protein DPCD	Protein DPCD	Protein DPCD	Protein DPCD	SHSP domain-containing protein	253
A8BUG8	GL50803_33862	74.9	Ribosomal protein S12	40S ribosomal protein S12	Ribosomal protein S12	40S ribosomal protein S12	40S ribosomal protein S12	509
A8BVA6	GL50803_13590	79.3	Ankyrin repeat protein 1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	Protein 21.1	Ankyrin repeat domain-containing protein 6	Ankyrin_rpt-contain_dom domain-containing protein	86
A8BVH9	GL50803_112801	85.16	VSP	Major surface-labeled trophozoite antigen 417	VSP	None	Variant-specific surface protein	158
A8BV55	GL50803_24068	85.62	UBC3	SUMO-conjugating enzyme UBC9-B	Ubiquitin-conjugating enzyme	Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	UBC core domain-containing protein	588
A8BUX1	GL50803_4320	85.43	Ankyrin repeat protein 2	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	Protein 21.1	Ankyrin repeat family protein	Ankyrin repeat protein 1	244
A8BVA7	GL50803_4288	68.14	Ser/Thr phosphatase 2C	Probable protein phosphatase 2C 62	Serine/threonine-protein phosphatase 2C	Protein-serine/threonine phosphatase	PPM-type phosphatase domain-containing protein	310
A8BVE5	GL50803_15017	57.59	Uncharacterized protein	FERM domain-containing protein 8	FERM domain-containing protein	FERM domain-containing protein 8	FERM domain-containing protein	148
A8BUU6	GL50803_111933	85.64	VSP	Major surface-labeled trophozoite antigen 417	VSP	R-spondin 2	Variant-specific surface protein	207
A8BV01	GL50803_15353	37.27	Uncharacterized protein	None	None	None	None	0
A8BUX6	GL50803_27055	89.57	Ubiquitin-conjugating enzyme E2	Ubiquitin-conjugating enzyme E2 S-C	UBC core domain-containing protein	Ubiquitin-conjugating enzyme E2 S	UBC core domain-containing protein	600
A8BUZ7	GL50803_42780	59.32	peptidylprolyl isomerase	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	Peptidylprolyl isomerase	Peptidylprolyl isomerase	Peptidylprolyl isomerase	696
A8BV53	GL50803_2933	88.3	Programmed cell death protein-like protein	Penta-EF hand domain-containing protein 2	Programmed cell death protein-like protein	Penta-EF hand domain-containing protein 2	Calmodulin	154
A8BVD1	GL50803_114462	70.84	Axonemal p66.0	None	Coiled-coil domain-containing protein 63	None	Coiled-coil domain-containing protein 63	1
A8BUP8	GL50803_10231	92.18	TCP-1 chaperonin subunit zeta	T-complex protein 1 subunit zeta-2	TCP-1 CPN60 chaperonin family protein	T-complex protein 1 subunit zeta-2	60 kDa chaperonin	678
A8BV74	GL50803_14369	87.35	Membrane transport protein	Auxin efflux carrier component 8	Auxin Efflux Carrier family protein	Auxin efflux carrier component	AEC family transporter	196
A8BV90	GL50803_134710	86.37	VSP	Proprotein convertase subtilisin/kexin type 6	VSP	Furin	Variant-specific surface protein	249
A8BVA8	GL50803_119706	86.16	VSP	Major surface-labeled trophozoite antigen 417	VSP	Proprotein convertase subtilisin/kexin type 5b	Variant-specific surface protein	248
A8BUI4	GL50803_4264	67.87	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 6	WH2 domain-containing protein	Unplaced genomic scaffold supercont1.5, whole genome shotgun sequence	Ankyrin_rpt-contain_dom domain-containing protein	39
A8BUK4	GL50803_16986	77.68	Kinase, NEK	Serine/threonine-protein kinase Nek7	Kinase, NEK	Protein kinase domain-containing protein	Non-specific serine/threonine protein kinase	420
A8BVC6	GL50803_9698	86.32	riboflavin kinase	Riboflavin kinase	Riboflavin kinase	Riboflavin kinase	Riboflavin biosynthesis protein	525
A8BUQ3	GL50803_10232	50.97	Spindle pole protein	None	None	None	None	0
A8BUW9	GL50803_27056	54.66	Uncharacterized protein	None	Alpha-synuclein	None	Alpha-synuclein	1
A8BUY9	GL50803_11129	81.86	VHS domain-containing protein	IST1 homolog	IST1-like protein isoform X2	Os09g0547200 protein	IST1 homolog	23
A8BV75	GL50803_7126	72.48	Lysophospholipid acyltransferase	Lysophospholipid acyltransferase LPEAT2	Lysophospholipid acyltransferase	Lysophospholipid acyltransferase LPEAT2	PlsC domain-containing protein	284
A8BVF2	GL50803_7183	81.16	Kinase, NEK	Serine/threonine-protein kinase Nek6	Protein kinase domain-containing protein	Serine/threonine-protein kinase Nek6	Protein kinase domain-containing protein	414
A8BUR5	GL50803_10241	76.15	Clr5 domain-containing protein	None	None	None	None	0
A8BUN7	GL50803_5062	39.99	General transcription factor IIH subunit 4	None	General transcription factor IIH subunit 4	None	General transcription factor IIH subunit 4	1
A8BVE2	GL50803_9707	48.15	Uncharacterized protein	None	None	None	None	0
A8BV12	GL50803_11149	77.29	Uncharacterized protein	None	None	None	None	0
A8BUM7	GL50803_6617	63.57	Uncharacterized protein	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	GMP synthase [glutamine-hydrolyzing]	197
A8BVC9	GL50803_22084	67.06	dGTP triphosphohydrolase	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	Phosphohydrolase, HD superfamily protein	HD domain-containing protein	HD domain-containing protein	432
A8BVE9	GL50803_103783	86.92	Ankyrin repeat protein 1	Homeobox protein Wariai	Kinase	Ankyrin repeat family protein	ANK_REP_REGION domain-containing protein	128
A8BV18	GL50803_11152	51.62	Uncharacterized protein	Kinesin-like protein KIN-14Q	Kinesin-like protein	Kinesin-like protein KIN-14Q	Kinesin-like protein	41
A8BUV6	GL50803_1774	59.02	Zinc finger domain protein	E3 ubiquitin-protein ligase SRFP1	Zinc finger protein	E3 ubiquitin-protein ligase SRFP1	RING finger and CHY zinc finger domain-containing protein 1	34
A8BV22	GL50803_104232	33.96	Uncharacterized protein	None	None	None	None	0
A8BV17	GL50803_11151	78.4	SH3 domain protein	Peroxisomal membrane protein PEX13	SH3 domain-containing protein	RIMS-binding protein 3	SH3 domain-containing protein	8
A8BV56	GL50803_33762	96.17	WD-40 repeat protein	POC1 centriolar protein homolog B	POC1A protein	POC1 centriolar protein homolog B	WD_REPEATS_REGION domain-containing protein	127
A8BUY7	GL50803_16867	86.02	AAA family ATPase	Transitional endoplasmic reticulum ATPase homolog 1	Vesicle-fusing ATPase	Transitional endoplasmic reticulum ATPase homolog 1	AAA domain-containing protein	393
A8BUQ4	GL50803_15148	71.57	Chaperone protein DnaJ	DnaJ homolog subfamily C member 7	TPR	DnaJ homolog subfamily C member 7	Tetratricopeptide repeat protein	219
A8BV78	GL50803_14367	61	Adenylate cyclase	Adenylate cyclase, terminal-differentiation specific	Adenylate/guanylate cyclase domain-containing protein	Adenylate cyclase, terminal-differentiation specific	Guanylate cyclase domain-containing protein	250
A8BUZ0	GL50803_11131	69.67	WD40 repeat protein	WD repeat-containing protein 55	Unplaced genomic scaffold scaffold_5, whole genome shotgun sequence	WD repeat-containing protein 55	WD40 repeat-like protein	52
A8BUW4	GL50803_4323	52.38	RIIa domain-containing protein	None	None	None	None	0
A8BV70	GL50803_40817	97.08	Actin	Actin	Histone domain-containing protein	Actin-1	Actin	180
A8BUJ9	GL50803_135002	74.52	Histone H4	Histone H4.2	Histone H4	Histone H4	Histone H4	996
A8BVD7	GL50803_9705	58.1	YEATS family protein	YEATS domain-containing protein 4	Protein AF-9 homolog	AHD domain-containing protein	Protein AF-9 homolog	64
A8BVC4	GL50803_16392	63.76	Kinase	Nuclear receptor-binding protein homolog	Non-specific serine/threonine protein kinase	Nuclear receptor-binding protein homolog	Non-specific serine/threonine protein kinase	84
A8BVD3	GL50803_9704	92.71	Transketolase	Transketolase 1	Transketolase	Transketolase	Transketolase	711
A8BV20	GL50803_11153	66.8	Uncharacterized protein	None	ABC transporter permease	None	ABC transporter permease	1
A8BVA5	GL50803_137641	37.55	TMP55	None	None	None	None	0
A8BUW3	GL50803_104248	34.18	Uncharacterized protein	None	None	None	None	0
A8BV65	GL50803_17083	28.23	Uncharacterized protein	None	None	None	None	0
A8BW87	GL50803_2116	68.69	Palmitoyltransferase	Palmitoyltransferase ZDHHC1	Palmitoyltransferase	Palmitoyltransferase	Palmitoyltransferase	840
A8BVM5	GL50803_7620	71.77	Uncharacterized protein	Probable alpha-L-glutamate ligase	Zn_protease domain-containing protein	Zn_protease domain-containing protein	Zn_protease domain-containing protein	234
A8BW44	GL50803_3206	79.01	Pyruvate kinase	Pyruvate kinase	Pyruvate kinase	Pyruvate kinase	Pyruvate kinase	92
A8BWN3	GL50803_8687	87.82	Tenascin	None	Tenascin	None	EGF family protein	4
